     UX               BX               B                 V                 R                I
   
3000    0.000     3600  0.000     3600    0.000     4700    0.000     5500    0.00     7000    0.000   
3050    0.016     3700  0.026     3700    0.030     4800    0.030     5600    0.23     7100    0.024 
3100    0.068     3800  0.120     3800    0.134     4900    0.163     5700    0.74     7200    0.232 
3150    0.167     3900  0.523     3900    0.567     5000    0.458     5800    0.91     7300    0.555 
3200    0.287     4000  0.875     4000    0.920     5100    0.780     5900    0.98     7400    0.785 
3250    0.423     4100  0.956     4100    0.978     5200    0.967     6000    1.00     7500    0.910 
3300    0.560     4200  1.000     4200    1.000     5300    1.000     6100    0.98     7600    0.965 
3350    0.673     4300  0.998     4300    0.978     5400    0.973     6200    0.96     7700    0.985 
3400    0.772     4400  0.972     4400    0.935     5500    0.898     6300    0.93     7800    0.990 
3450    0.841     4500  0.901     4500    0.853     5600    0.792     6400    0.90     7900    0.995 
3500    0.905     4600  0.793     4600    0.740     5700    0.684     6500    0.86     8000    1.000 
3550    0.943     4700  0.694     4700    0.640     5800    0.574     6600    0.81     8100    1.000 
3600    0.981     4800  0.587     4800    0.536     5900    0.461     6700    0.78     8200    0.990 
3650    0.993     4900  0.470     4900    0.424     6000    0.359     6800    0.72     8300    0.980 
3700    1.000     5000  0.362     5000    0.325     6100    0.270     6900    0.67     8400    0.950 
3750    0.989     5100  0.263     5100    0.235     6200    0.197     7000    0.61     8500    0.910 
3800    0.916     5200  0.169     5200    0.150     6300    0.135     7100    0.56     8600    0.860 
3850    0.804     5300  0.107     5300    0.095     6400    0.081     7200    0.51     8700    0.750 
3900    0.625     5400  0.049     5400    0.043     6500    0.045     7300    0.46     8800    0.560 
3950    0.423     5500  0.010     5500    0.009     6600    0.025     7400    0.40     8900    0.330 
4000    0.238     5600  0.000     5600    0.000     6700    0.017     7500    0.35     9000    0.150 
4050    0.114                                       6800    0.013     8000    0.14     9100    0.030 
4100    0.051                                       6900    0.009     8500    0.03     9200    0.000 
4150    0.019                                       7000    0.000     9000    0.00                   
4200    0.000                                                                                          
